repo,verdict,reason,capability,install_cmd,license,risk_level,risk_note,category,evidence,checked_at
HuanLinOTO/dsh-plugin-aigc-canvas,verified_plugin,README gives dsh plugin add (github) command and cordis.patch.yml config; native DSH tools registered.,"Provider-agnostic AIGC HTTP bridge + infinite canvas + ffmpeg post-processing (aigc_http_request, aigc_canvas_place, aigc_media_edit).",dsh plugin --profile <profile> add github:huanlinoto/dsh-plugin-aigc-canvas,AGPL-3.0,medium,Sends HTTP requests to configured AIGC endpoints with in-memory API keys; writes media files locally; runs ffmpeg media processing.,vision,README.md: dsh plugin add github command + cordis.patch.yml config + 13 tools; LICENSE = AGPL-3.0.,2026-08-14
HuanLinOTO/dsh-plugin-anti-ads,verified_plugin,README gives dsh plugin add command; bundle patch auto-inserts config line.,Ad blocker for DSH Web that suppresses the dsh-ads plugin's ad layers (4-layer defense).,dsh plugin --profile web add link:/path/to/dsh-anti-ads,AGPL-3.0,low,DOM/localStorage manipulation in web UI; no network/credentials.,web_ui,README.md: dsh plugin add link command + auto bundle patch; LICENSE = AGPL-3.0.,2026-08-14
HuanLinOTO/dsh-plugin-auto-blame,verified_plugin,README gives dsh plugin add (github) command; declares dsh.bundle.patch + cordis.patch.yml.,"After each turn, sends last 3 messages to an LLM to generate 3 critical follow-up suggestions above the input.","dsh plugin --profile web add ""github:huanlinoto/dsh-plugin-auto-blame""",AGPL-3.0,medium,Sends last 3 conversation messages to LLM via ctx.llm.stream() to generate suggestions; no separate API key (uses harness LLM).,session_chat,README.md: dsh plugin add github command + dsh.bundle.patch/cordis.patch.yml notes; LICENSE = AGPL-3.0.,2026-08-14
HuanLinOTO/dsh-plugin-d399,verified_plugin,README gives dsh plugin add (github) command and cordis.patch.yml config; native client plugin.,Mini-game popup (Wordle/match-3/190 parametric games) while the model generates.,dsh plugin --profile web add github:huanlinoto/dsh-plugin-d399,AGPL-3.0,low,Client-only games overlay; no network/credentials; exposes ctx.d399Games service for third-party game registration.,fun,README.md: dsh plugin add github command + cordis.patch.yml config; LICENSE = AGPL-3.0.,2026-08-14
HuanLinOTO/dsh-plugin-pet-rs,watchlist,DSH-related desktop companion (DeepSeek Harness pet whale) but a standalone Rust desktop app that connects read-only via HTTP/SSE; no loadable plugin path (README states zero-intrusion read-only HTTP/SSE).,"Desktop pet whale mirroring DSH agent state via SSE + HTTP, with system tray and settings panel.",,AGPL-3.0,low,Read-only HTTP/SSE to local DSH GUI; no credentials; opens DSH in browser on click.,fun,"README.md: standalone Rust app, '对 DSH 零侵入（纯只读 HTTP/SSE）'; LICENSE = AGPL-3.0.",2026-08-14
HuanLinOTO/dsh-plugin-spur,verified_plugin,README gives dsh plugin add (github) command; client plugin registering conversation.composer.dock slot.,A whip UI overlay in chat; flick it fast to send 'go work!' to the agent.,dsh plugin --profile web add github:huanlinoto/dsh-plugin-spur,AGPL-3.0,low,Client-only UI; sends 'go work!' through session input actions; no network/credentials.,fun,README.md: dsh plugin add github command + conversation.composer.dock slot; LICENSE = AGPL-3.0.,2026-08-14
ilharp/dsh-tool-approval,verified_plugin,README gives dsh plugin add command and native tool-approval config (include/exclude).,Pre-approval ('Manual Mode'/'Ask Mode') for tool calls with include/exclude wildcard config.,dsh plugin --profile web add dsh-tool-approval,BSD-3-Clause,medium,Intercepts tool dispatch for manual approval (control-plane); no external network/credentials itself.,automation,README.md: dsh plugin add command + config block; LICENSE = BSD-3-Clause.,2026-08-14
Jesse-njx/dsh-cowork,verified_plugin,README gives dsh plugin add command for packages/dsh and cordis.patch.yml config; native doc_read/doc_write tools.,"doc_read/doc_write tools for office documents & notebooks (xlsx, pdf, docx, pptx, ipynb) + MCP server + CLI.",dsh plugin --profile <your-profile> add ./packages/dsh,MIT,medium,Reads/writes local office documents (xlsx/ipynb write; pdf/docx/pptx read) with size/zip-bomb guards; optional MCP server; separate WeChat chatnode bundle (IM).,data_tools,README.md: dsh plugin add ./packages/dsh command + cordis.patch.yml config; LICENSE = MIT.,2026-08-14
Jesse-njx/dsh-memory,verified_plugin,Native `dsh plugin --profile web add` install command plus cordis.patch.yml config present.,"Cited memory over DSH's lossless session log: post-session distillation writes durable facts with citations to source events; memory_read/memory_expand tools, recall index, and dsh-memory CLI.",dsh plugin --profile web add @dsh-memory/bundle,MIT,medium,Reads DSH session logs/transcripts and distills via ctx.llm; writes memory files under ~/.dsh/memory; no external API keys (reuses the session's own provider).,memory_persona,README install command + Config (cordis.patch.yml) + memory file format; distills session events via ctx.llm.,2026-08-14
joyfoxai/dsh-eco-router,verified_plugin,Cordis/preset mount instruction (plugin id/name/config) is an explicit profile-mount declaration.,"Token-efficient model-routing flywheel: observes (task → model → result), distills a per-model error-count routing table to eco_router.json, and routes tasks to the cheapest historically-successful model tier via eco_route.","preset composition entry: `- id: dsh-eco-router` / `name: '@joyfoxai/dsh-eco-router'` with config tiers:[...], autoRoute:false (copy dir into user preset root and mount)",MIT,low,"Observes agent events and persists a local routing table (eco_router.json); no credentials, shell, or external network.",developer_tools,README mount instruction + package.json peerDependencies on @deepseek-ai/* (dsh-agent/dsh-tools/dsh-llm/dsh-settings).,2026-08-14
kaijia323/create-dsh-plugin,watchlist,Agent Skill (SKILL.md + references + evals) for authoring DSH plugins; installs into ~/.agents/skills — not a DSH .dsh/skills skill and not loadable via dsh plugin.,"Agent Skill that guides an agent to create, debug, and package DSH plugins (tools, config, events, services, bundles) using bundled official docs.",git clone git@github.com:kaijia323/create-dsh-plugin.git ~/.agents/skills/create-dsh-plugin,MIT,low,"Documentation/skill only; no runtime, network, or credential access.",skills,"README: SKILL.md structure, install to ~/.agents/skills (and Windows %USERPROFILE%\.agents\skills), slash-command auto-invoke; no dsh plugin add or cordis mount for itself.",2026-08-14
KarlOfLaw/dsh-goal-mode-enhance,verified_plugin,Has dsh.plugin.json + cordis.patch.yml and `dsh plugin --profile web add` install (INSTALL.md linked from README).,"Visual goal-mode UI for DSH web: full-lifecycle goal dock above the composer, composer tool-row entry, settings page (history + multi-session overview), backed by goal remote namespace.",dsh plugin --profile web add file:/path/to/dsh-goal-mode,MIT,low,"Web UI only; reads goal state via ctx.remote.goals and persists a settings-namespace preference; no shell, network, or credentials.",web_ui,"README (two forms: npm package with dsh.plugin.json + cordis.patch.yml, or dynamic cordis_define/cordis_run) + INSTALL.md install command + dsh.plugin.json manifest.",2026-08-14
kingjly/dsh-plugin-builder,watchlist,Agent Skill targeting Claude/Grok/.agents skills dirs to generate DSH plugins — not a DSH skill (.dsh/skills) and not a loadable plugin.,"Agent Skill that writes installable DSH plugins (tools, hooks, adapters, MCP) with selection rules, a validation script, and --patch/bundle instructions.",git clone https://github.com/kingjly/dsh-plugin-builder.git,MIT,low,"Skill/scaffolding only; no runtime, network, or credential access.",skills,"README: SKILL.md-based Agent Skill; clone into ~/.claude/skills, ~/.grok/skills, .agents/skills; slash command /dsh-plugin-builder. No DSH .dsh/skills path or plugin load.",2026-08-14
krislavten/ai-sdk-provider-dsh,watchlist,"Standalone AI SDK provider that wraps a dsh runtime subprocess; installed via npm, no DSH plugin load path (reverse dependency on DSH).",AI SDK (v6/v7) provider driving a DeepSeek Harness runtime as a LanguageModelV3 for generateText/streamText.,npm install ai-sdk-provider-dsh,MIT,medium,Spawns a bundled dsh runtime subprocess; consumes DEEPSEEK_API_KEY / DEEPSEEK_BASE_URL from env. Not loadable into DSH itself.,developer_tools,README: npm package bundling runtime/cordis.yml + dsh-jsonrpc-agent bin; no dsh plugin add / cordis mount for itself.,2026-08-14
lehhair/dsh-diff-viewer,verified_plugin,Native `dsh plugin --profile web add` command present.,"PiUI-style diff viewer plugin replacing the stock DiffBlock for write/edit tool calls (unified/split modes, word-level highlight, windowed rendering).",dsh plugin --profile web add E:\dev\dsh-diff-viewer,Not found,low,"Web UI diff rendering only; no network, shell, or credentials.",web_ui,README install command + cordis.patch.yml slot registration (tool.call.diffcard / tool.details.diffcard).,2026-08-14
lehhair/dsh-mobile,verified_plugin,Native `dsh plugin --profile web add` command present.,"Mobile adaptation of DSH web UI: PiUI scroll-snap pager (half-open sidebar + full chat), 3D flip, keyboard/safe-area insets.",dsh plugin --profile web add link:E:/dev/dsh-mobile,BSD-3-Clause,low,"Client-side CSS/controller only; no network, shell, or credentials.",web_ui,README install command + License section (BSD-3-Clause).,2026-08-14
lehhair/dsh-split-panes,verified_plugin,Native `dsh plugin --profile web add` command present.,"Split-pane conversation UI: multiple independently-bound session panes with drag-to-split, keyboard resizing, and session drag-in.",dsh plugin --profile web add link:/path/to/dsh-split-panes,BSD-3-Clause,low,"Client-side UI only; no network, shell, or credentials.",web_ui,README install command + License section (BSD-3-Clause).,2026-08-14
LiangYin233/dsh-model-config-sync,verified_plugin,Native `dsh plugin --profile web add` command plus dsh.bundle.patch/cordis.patch.yml/dsh.plugin.json manifest present.,"Applies pi-ai preset model context/output/reasoning-effort config to custom providers, or manually writes model entries, via a dedicated settings page.",dsh plugin --profile web add https://github.com/LiangYin233/dsh-model-config-sync/archive/refs/heads/main.tar.gz,MIT,low,Writes llm-pi-ai settings only; explicitly does not touch or store API keys; no shell or network.,developer_tools,"README install command + repo structure (package.json dsh.bundle.patch / dsh.client, cordis.patch.yml, dsh.plugin.json).",2026-08-14
lin-cheng-lab/dsh-deepseek-balance,verified_plugin,Native `dsh plugin --profile web add` command present.,Floating DeepSeek API balance monitor: right-corner badge with live balance + 7/30-day usage/cost charts.,"dsh plugin --profile web add ""github:<你的用户名>/dsh-deepseek-balance#main""",MIT,medium,Reads DEEPSEEK_API_KEY from credentials and calls api.deepseek.com/user/balance via shell curl; also reads local DSH session logs for token stats.,diagnostics,"README install command + architecture (credentials.resolve, shell curl balance API, sessionQuery usage stats).",2026-08-14
lin-cheng-lab/dsh-reloader,verified_plugin,Native `dsh plugin --profile web add` command present.,dsh_reload tool that auto-restarts the DSH web process on request (lsof/ps locate + kill + nohup restart).,"dsh plugin --profile web add ""github:lin-cheng-lab/dsh-reloader""",MIT,high,Uses shell (lsof/ps/kill/nohup) to locate and restart the dsh web process on port 3080.,developer_tools,README install command + shell-based restart mechanism + safety boundary section.,2026-08-14
Liu-ty/dsh-balance-display,verified_plugin,README documents `dsh plugin --profile web add ...` and package.json declares dsh.bundle.patch -> cordis.patch.yml,"Collapsible overlay panel showing DeepSeek API account balance (CNY/USD), resolved via Harness credentials service",dsh plugin --profile web add F:\path\to\dsh-balance-display,MIT,medium,Resolves DEEPSEEK_API_KEY from the credentials service and calls api.deepseek.com/user/balance over the network; key never forwarded to browser,diagnostics,README.md (HEAD) + package.json with dsh.bundle.patch and dsh.client web entry,2026-08-14
LJH-snow/dsh-tool-github,verified_plugin,Cordis tool plugin loading via cordis.yml `- name: 'dsh-tool-github'`; peer deps @deepseek-ai/cordis + @deepseek-ai/dsh-tools,"GitHub tools for the agent: repo lookup, code search, issue listing, and draft PR creation via ctx.tools.register",- name: 'dsh-tool-github',MIT,medium,Network calls to GitHub API; code search and PR creation require a PAT token passed via config (recommend fine-grained token),developer_tools,"README.md (HEAD) cordis.yml mount + package.json peer deps @deepseek-ai/cordis, @deepseek-ai/dsh-tools",2026-08-14
longyu065/dsh-session-index,verified_plugin,README documents `dsh plugin --profile web add ./dsh-session-index-0.1.0.tgz`; package.json declares dsh.bundle.patch -> cordis.patch.yml,Cross-session full-text index over session events exposing session_search / session_index_stats tools (hybrid FTS5 + bigram recall),dsh plugin --profile web add ./dsh-session-index-0.1.0.tgz,MIT,medium,"Persists user/assistant messages, tool calls/results and titles to local JSONL under $DSH_HOME/session-index; reasoning indexing off by default",memory_persona,README.md (HEAD) + package.json with dsh.bundle.patch and cordis.patch.yml mount,2026-08-14
lujoai/Lujo-MCP,rejected,"Standalone Python MCP debugging/observability server configured for Claude Desktop/Cursor/Trae via mcpServers, not a loadable DSH plugin; no DSH/Cordis load path",,,MIT,,,uncategorized,README.md (HEAD) shows MCP stdio/HTTP setup for Claude/Cursor/Trae only; no package.json,2026-08-14
moduqishi/dsh-open-in-finder,verified_plugin,README documents symlink into profile node_modules + cordis.patch.yml insert; package.json has dsh.client web entry,Header folder icon that runs `open <path>` on the macOS host to reveal the current session working directory in Finder,"ln -sfn ""$PWD"" ~/.dsh/profiles/node_modules/@local/dsh-open-in-finder",MIT,medium,Host plugin executes `open <path>` subprocess (macOS only) to open the session workspace directory; local file-system access,developer_tools,README.md (HEAD) cordis.patch.yml insert + package.json with dsh.client.platform=web,2026-08-14
moduqishi/dsh-opencode-usage,verified_plugin,README documents symlink into profile node_modules + cordis.patch.yml insert; package.json has dsh.client web entry,Session-header widget showing opencode.ai 5h/week/month quota usage with frosted-glass panel and provider filtering,"ln -sfn ""$PWD"" ~/.dsh/profiles/node_modules/@local/dsh-opencode-usage",MIT,medium,Fetches opencode.ai usage via curl subprocess; requires workspace ID + auth cookie persisted in ~/.dsh/ocu-config.json (0600),diagnostics,README.md (HEAD) cordis.patch.yml insert + package.json with dsh.client.platform=web,2026-08-14
